Milliseconds,RPM,RPM EGO Motor,Brake Motor RPM,PWM Duty Cycle(%),Counter Torque,Counter Torque(Nm),ESC Voltage(V),ESC Input Current(A)
63200,785,1632.8,1570,17,6239.582,0.006239582,8.39,2.530000
63300,788,1639.04,1576,17,6263.428,0.006263428,8.41,2.410000
63400,786,1634.88,1572,17,6247.531,0.006247531,8.41,2.470000
63500,789,1641.12,1578,17,6271.376,0.006271376,8.39,2.530000
63600,790,1643.2,1580,17,6279.325,0.006279325,8.41,2.410000
63700,787,1636.96,1574,17,6255.479,0.006255479,8.39,2.470000
63800,791,1645.28,1582,17,6287.273,0.006287273,8.41,2.340000
63900,789,1641.12,1578,17,6271.376,0.006271376,8.41,2.280000
64000,791,1645.28,1582,17,6287.273,0.006287273,8.39,2.470000
64100,794,1651.52,1588,17,6311.119,0.006311119,8.41,2.340000
64200,794,1651.52,1588,17,6311.119,0.006311119,8.39,2.470000
64300,792,1647.36,1584,17,6295.222,0.006295222,8.41,2.340000
64400,796,1655.68,1592,17,6327.016,0.006327016,8.39,2.470000
64500,796,1655.68,1592,17,6327.016,0.006327016,8.39,2.470000
64600,800,1664,1600,17,6358.81,0.00635881,8.39,2.530000
64700,803,1670.24,1606,17,6382.655,0.006382655,8.41,2.410000
64800,801,1666.08,1602,17,6366.758,0.006366758,8.41,2.280000
64900,803,1670.24,1606,17,6382.655,0.006382655,8.41,2.470000
65000,802,1668.16,1604,17,6374.707,0.006374707,8.39,2.410000
65100,799,1661.92,1598,17,6350.861,0.006350861,8.41,2.410000
65200,802,1668.16,1604,17,6374.707,0.006374707,8.39,2.530000
65300,798,1659.84,1596,17,6342.913,0.006342913,8.41,2.280000
65400,797,1657.76,1594,17,6334.964,0.006334964,8.39,2.410000
65500,797,1657.76,1594,17,6334.964,0.006334964,8.41,2.340000
65600,793,1649.44,1586,17,6303.17,0.00630317,8.41,2.280000
65700,795,1653.6,1590,17,6319.067,0.006319067,8.39,2.410000
65800,788,1639.04,1576,17,6263.428,0.006263428,8.41,2.220000
65900,784,1630.72,1568,17,6231.634,0.006231634,8.41,2.410000
66000,786,1634.88,1572,17,6247.531,0.006247531,8.41,2.410000
66100,787,1636.96,1574,17,6255.479,0.006255479,8.41,2.530000
66200,784,1630.72,1568,17,6231.634,0.006231634,8.41,2.530000
66300,786,1634.88,1572,17,6247.531,0.006247531,8.39,2.410000
66400,783,1628.64,1566,17,6223.685,0.006223685,8.41,2.470000
66500,781,1624.48,1562,17,6207.788,0.006207788,8.41,2.220000
66600,782,1626.56,1564,17,6215.737,0.006215737,8.41,2.340000
