Milliseconds,RPM,RPM EGO Motor,Brake Motor RPM,PWM Duty Cycle(%),Counter Torque,Counter Torque(Nm),ESC Voltage(V),ESC Input Current(A)
45400,0,0,0,10,0,0,8.41,1.11
45500,0,0,0,10,0,0,8.41,1.05
45600,0,0,0,10,0,0,8.41,1.05
45700,0,0,0,10,0,0,8.41,1.11
45800,0,0,0,10,0,0,8.41,1.05
45900,0,0,0,10,0,0,8.41,1.05
46000,0,0,0,10,0,0,8.41,1.05
46100,0,0,0,10,0,0,8.41,1.05
46200,0,0,0,10,0,0,8.41,1.05
46300,0,0,0,10,0,0,8.41,1.05
46400,0,0,0,10,0,0,8.41,1.11
46500,0,0,0,10,0,0,8.41,1.05
46600,0,0,0,10,0,0,8.41,1.05
46700,0,0,0,10,0,0,8.41,1.11
46800,0,0,0,10,0,0,8.41,1.05
46900,0,0,0,10,0,0,8.41,1.05
47000,0,0,0,10,0,0,8.41,1.11
47100,0,0,0,10,0,0,8.41,1.17
47200,0,0,0,10,0,0,8.41,1.11
47300,0,0,0,10,0,0,8.41,1.11
47400,0,0,0,10,0,0,8.41,1.11
47500,0,0,0,10,0,0,8.41,1.05
47600,0,0,0,10,0,0,8.41,1.11
47700,0,0,0,10,0,0,8.41,1.05
47800,0,0,0,10,0,0,8.41,0.98
47900,0,0,0,10,0,0,8.41,1.11
48000,0,0,0,10,0,0,8.41,1.05
48100,0,0,0,10,0,0,8.41,1.11
48200,0,0,0,10,0,0,8.41,1.11
48300,0,0,0,10,0,0,8.41,1.05
48400,0,0,0,10,0,0,8.41,1.11
48500,0,0,0,10,0,0,8.41,1.11
48600,0,0,0,10,0,0,8.41,1.11
48700,0,0,0,14,0,0,8.41,1.05
48800,0,0,0,14,0,0,8.41,1.73
48900,0,0,0,14,0,0,8.41,1.73
49000,0,0,0,14,0,0,8.41,2.04
49100,0,0,0,14,0,0,8.41,1.85
49200,0,0,0,14,0,0,8.41,1.91
49300,0,0,0,14,0,0,8.41,1.85
49400,0,0,0,14,0,0,8.41,1.85
49500,0,0,0,14,0,0,8.41,1.85
49600,0,0,0,14,0,0,8.41,1.73
49700,0,0,0,14,0,0,8.41,1.85
49800,0,0,0,14,0,0,8.41,1.85
49900,0,0,0,14,0,0,8.41,1.79
50000,0,0,0,14,0,0,8.41,1.85
50100,159,330.72,318,14,1263.813,0.001263813,8.41,1.79
50200,159,330.72,318,14,1263.813,0.001263813,8.41,1.79
50300,159,330.72,318,14,1263.813,0.001263813,8.41,1.85
50400,201,418.08,402,14,1597.651,0.001597651,8.41,1.79
50500,201,418.08,402,14,1597.651,0.001597651,8.41,1.79
50600,201,418.08,402,14,1597.651,0.001597651,8.41,1.73
50700,221,459.68,442,14,1756.621,0.001756621,8.41,1.79
50800,221,459.68,442,14,1756.621,0.001756621,8.41,1.73
50900,241,501.28,482,14,1915.591,0.001915591,8.41,1.73
51000,241,501.28,482,14,1915.591,0.001915591,8.41,1.85
51100,241,501.28,482,14,1915.591,0.001915591,8.41,1.73
51200,254,528.32,508,14,2018.922,0.002018922,8.41,1.85
51300,254,528.32,508,14,2018.922,0.002018922,8.41,1.85
51400,269,559.52,538,14,2138.15,0.00213815,8.41,1.85
51500,269,559.52,538,14,2138.15,0.00213815,8.41,1.85
51600,278,578.24,556,14,2209.686,0.002209686,8.41,1.85
51700,278,578.24,556,14,2209.686,0.002209686,8.41,1.66
51800,278,578.24,556,14,2209.686,0.002209686,8.41,1.73
51900,289,601.12,578,14,2297.12,0.00229712,8.41,1.73
52000,289,601.12,578,14,2297.12,0.00229712,8.41,1.79
52100,295,613.6,590,14,2344.811,0.002344811,8.41,1.79
52200,295,613.6,590,14,2344.811,0.002344811,8.41,1.79
52300,304,632.32,608,14,2416.348,0.002416348,8.41,1.85
52400,304,632.32,608,14,2416.348,0.002416348,8.41,1.79
52500,309,642.72,618,14,2456.09,0.00245609,8.41,1.85
52600,309,642.72,618,14,2456.09,0.00245609,8.41,1.85
52700,317,659.36,634,14,2519.678,0.002519678,8.41,1.85
52800,317,659.36,634,14,2519.678,0.002519678,8.41,1.79
52900,323,671.84,646,14,2567.369,0.002567369,8.41,1.85
53000,323,671.84,646,14,2567.369,0.002567369,8.41,1.79
53100,328,682.24,656,14,2607.112,0.002607112,8.41,1.79
53200,329,684.32,658,14,2615.06,0.00261506,8.41,1.79
53300,329,684.32,658,14,2615.06,0.00261506,8.41,1.85
53400,330,686.4,660,14,2623.009,0.002623009,8.41,1.85
53500,330,686.4,660,14,2623.009,0.002623009,8.41,1.85
53600,330,686.4,660,14,2623.009,0.002623009,8.41,1.85
53700,330,686.4,660,14,2623.009,0.002623009,8.41,1.85
53800,333,692.64,666,14,2646.855,0.002646855,8.41,1.85
53900,333,692.64,666,14,2646.855,0.002646855,8.41,1.79
54000,332,690.56,664,14,2638.906,0.002638906,8.41,1.85
54100,332,690.56,664,14,2638.906,0.002638906,8.41,1.79
54200,332,690.56,664,14,2638.906,0.002638906,8.41,1.79
54300,332,690.56,664,14,2638.906,0.002638906,8.41,1.73
54400,329,684.32,658,14,2615.06,0.00261506,8.41,1.73
54500,329,684.32,658,14,2615.06,0.00261506,8.41,1.79
54600,326,678.08,652,14,2591.215,0.002591215,8.41,1.73
